start_time,end_time,max_time,peak_width,peak_risetime,peak_falltime,peak_flux
110151142.070079,110158251.070079,110151605.070079,988.1471843274758,462.8663311942255,525.2808531332503,40.564053
110222146.83330505,110229159.83330505,110222626.83330505,884.9475082568188,479.2959149184153,405.6515933384035,56.164043
110229791.83330505,110243343.83330505,110236543.83330505,1294.4872373134058,622.8204875160372,671.6667497973685,91.3051
110279746.63586004,110286846.63586004,110285944.63586004,969.2727832227174,66.74358432022018,902.5291989024972,146.86412
110343565.409034,110356874.409034,110349788.409034,1011.199840250393,75.58961686919952,935.6102233811935,56.594906
110357746.409034,110364846.409034,110363948.409034,948.2202857111115,49.3981613127371,898.8221243983744,53.12192
110449929.175745,110463197.175745,110456565.175745,936.3435037773015,469.8061147865419,466.5373889907596,46.057
110520288.93579005,110527025.93579005,110520772.93579005,551.3739148579325,483.1999834366243,68.17393142130823,35.225533
110534158.93579005,110541228.93579005,110534875.93579005,878.1317668124743,716.4048315709147,161.72693524155966,34.24927
110556006.93579005,110583915.93579005,110577293.93579005,3418.128106850264,3004.5322075466875,413.5958993035765,23.765799
110612099.660469,110619213.660469,110612433.660469,894.0754834589566,333.1874494411127,560.8880340178439,15.171762
110627096.660469,110640471.660469,110633724.660469,923.7155054870182,402.7316894868909,520.9838160001273,28.745617
110739835.550685,110740117.550685,110739907.550685,281.9155032511305,71.5262844663542,210.3892187847763,15.215304
110747295.550685,110747417.550685,110747348.550685,122.36384627149528,52.468867420748666,69.89497885074661,24.826654
110747446.550685,110747633.550685,110747567.550685,187.05286477335426,120.65207904390013,66.40078572945413,8.644958
110754155.550685,110761055.550685,110754476.550685,622.8659815530948,320.52087272147105,302.34510883162375,16.4213
110754692.550685,110761050.550685,110754720.550685,80.67008779224125,27.65696884656154,53.01311894567971,21.117579
110832719.47314899,110839591.47314899,110839167.47314899,562.7592150615192,138.0836349303545,424.6755801311647,20.206747
110882050.19359,110895783.19359,110888699.19359,1082.7059306728715,324.2950728317992,758.4108578410724,17.38531
111024443.52091998,111031425.52091998,111024908.52091998,603.4108440265074,464.55692609082814,138.8539179356793,14.0895195
111032158.52091998,111060737.52091998,111046020.52091998,3016.2431141647326,1090.1952442301322,1926.0478699346004,20.743313
111060115.52091998,111060551.52091998,111060203.52091998,435.85400644024685,87.30903852090705,348.5449679193398,18.576996
111060569.52091998,111060726.52091998,111060644.52091998,156.88399850099722,74.66059806965313,82.22340043134409,9.501839
111074692.52091998,111081539.52091998,111075054.52091998,432.24286325320827,361.3238720981162,70.91899115509204,16.624126
111117362.025264,111117495.025264,111117417.025264,133.17081689612485,54.84832361146334,78.3224932846615,4.612715
111180938.025264,111181204.025264,111181184.025264,265.8340310674846,245.3868229542802,20.447208113204397,12.51996
111181237.025264,111194958.025264,111188160.025264,825.0112880893466,478.3630181740573,346.64826991528935,17.241161
111188465.025264,111194952.025264,111188484.025264,34.2868426317732,18.17832349390619,16.108519137867006,12.586839
111266297.30150001,111280016.30150001,111272973.30150001,577.6898036211842,82.27357804789972,495.41622557328446,10.081953
111294516.48499219,111301349.48499219,111294668.48499219,260.9134654604743,151.83447565571646,109.07898980475784,12.231831
111301728.48499219,111308509.48499219,111308477.48499219,200.93597152168036,168.33720109760884,32.59877042407152,8.554063
111308843.48499219,111322585.48499219,111315851.48499219,555.7120537132307,418.7621090988198,136.94994461441092,5.1346545
111322878.48499219,111329760.48499219,111322949.48499219,272.63614908444106,70.15114368033392,202.48500540410714,13.871306
111343792.48499219,111351078.48499219,111351044.48499219,645.5079154542573,611.4601884027634,34.047727051493894,11.249496
111365232.48499219,111365341.48499219,111365276.48499219,108.86438430171165,43.75263806527346,65.1117462364382,18.350395
111372486.22485155,111386341.22485155,111379583.22485155,474.3548725657142,412.36383041726214,61.99104214845204,12.069183
111457279.97132617,111457354.97132617,111457308.97132617,75.27599080665446,28.80780274785259,46.46818805880187,12.231757
117678531.90403003,117680545.90403003,117679051.90403003,2014.4792390266005,519.827346381079,1494.6518926455215,923.2511
117830378.55883001,117833667.55883001,117831257.55883001,3288.8096895621857,878.2312180611771,2410.5784715010086,546.20355
117845000.55883001,117847389.55883001,117845816.55883001,2388.2579623156635,815.1748662841565,1573.083096031507,399.4917
117850767.18184899,117853427.18184899,117851907.18184899,2660.019399290669,1139.6895469699941,1520.329852320675,1957.514
117950411.89184003,117957974.89184003,117953609.89184003,7562.949955765791,3197.5160383161965,4365.433917449594,96.16788
117969698.89184003,117976971.89184003,117971737.89184003,7273.299117768591,2038.3554401671136,5234.943677601477,95.93158
118031465.44376001,118033720.44376001,118032848.44376001,2254.9017434296693,1382.1946497793124,872.7070936503569,150.63121
118059486.44376001,118071732.44376001,118060965.44376001,11502.727098382464,1478.5385900951733,10024.18850828729,106.91526
118075488.44376001,118082356.44376001,118076445.44376001,6136.602395023852,956.1365107068559,5180.465884316996,166.2813
118115794.14531901,118117700.14531901,118116309.14531901,1906.5434348543977,514.5808978306004,1391.9625370237973,111.661316
118162379.14531901,118171799.14531901,118162752.14531901,8686.207133982927,372.36095793675486,8313.846176046172,95.57638
118184100.14531901,118187003.14531901,118184580.14531901,2901.972773848436,478.9023077821912,2423.070466066245,89.456665
118203263.787875,118207057.787875,118204357.787875,3793.8431371360475,1093.7678214321786,2700.075315703869,87.35047
118210943.787875,118212364.787875,118211313.787875,1421.6598574520194,369.9033680423763,1051.756489409643,68.26966
118223323.787875,118228624.787875,118226900.787875,5300.890319960996,3576.8872013248147,1724.0031186361812,84.06952
118231690.787875,118233181.787875,118232414.787875,1490.8063739708232,723.0040518638561,767.802322106967,83.54805
118241392.787875,118247774.787875,118242515.787875,5644.485767298698,386.35940181833575,5258.126365480362,84.09052
118248781.787875,118252906.787875,118249600.787875,3390.181137591426,83.76367167871649,3306.4174659127093,63.72717
118253577.787875,118255624.787875,118254046.787875,2046.508947772083,468.30613075650035,1578.2028170155827,80.13265
118271259.787875,118272394.787875,118271543.787875,1134.0307261331618,283.4282109649357,850.6025151682261,83.97053
118281279.787875,118281516.787875,118281353.787875,236.70865971242893,73.04912986526324,163.6595298471657,84.92021
118286190.4259961,118287440.4259961,118286511.4259961,1249.9507323659973,320.4818083294631,929.4689240365342,78.577965
118289352.4259961,118300666.4259961,118293881.4259961,11314.193863598224,4528.320894319861,6785.872969278364,131.71414
118306899.4259961,118313283.4259961,118310809.4259961,6384.238535621571,3909.995287089281,2474.2432485322897,91.2074
118319412.4259961,118320839.4259961,118320077.4259961,1426.5844983885545,664.3104890148825,762.274009373672,107.56878
118373481.08163281,118377029.08163281,118374543.08163281,3547.7541366529376,1061.1126321384281,2486.6415045145095,83.39453
118383735.08163281,118384678.08163281,118384355.08163281,943.243701213014,619.3468022024572,323.8968990105568,76.01635
118382417.08163281,118391366.08163281,118387958.08163281,8939.954588955237,5540.183254048339,3399.771334906898,74.02259
118393997.08163281,118403656.08163281,118398859.08163281,9658.887573060256,4861.804954087678,4797.082618972578,91.78375
118410105.08163281,118411540.08163281,118410747.08163281,1434.7723873007053,641.0233626932895,793.7490246074158,73.3173
118418260.08163281,118422633.08163281,118421085.08163281,3631.817085403316,2084.3421707275484,1547.4749146757676,67.47249
118430031.08163281,118431282.08163281,118430554.08163281,1250.5070011615535,522.3632207026021,728.1437804589514,61.172436
118436829.08163281,118445933.08163281,118441747.08163281,9103.807548387267,4917.791748821881,4186.015799565386,61.4562
118446970.08163281,118448295.08163281,118448157.08163281,582.8256670686969,444.245059053952,138.58060801474494,59.27181
118511933.77699414,118526550.77699414,118517981.77699414,13871.66286731801,6047.599909702258,7824.062957615752,77.54115
118571682.44465332,118591700.44465332,118580716.44465332,20018.084186424032,9033.846837098692,10984.23734932534,84.41529
118606522.44465332,118610056.44465332,118607787.44465332,3533.696153959281,1264.387164671898,2269.308989287383,82.01514
118773449.87454198,118795472.87454198,118774372.87454198,7096.910403807546,168.99329418620619,6927.9171096213395,131.9428
118802711.58606152,118802821.58606152,118802766.58606152,110.65602914013334,54.90297124840481,55.75305789172853,59.197353
118804262.58606152,118810296.58606152,118807833.58606152,6033.561504940007,3570.135796123782,2463.425708816225,42.81466
118824781.58606152,118830055.58606152,118827297.58606152,5273.405025268148,2515.3934018934124,2758.011623374736,45.93879
118871920.58606152,118874847.58606152,118873363.58606152,2927.4489534594177,1442.5361184730573,1484.9128349863604,44.67373
118898395.34056641,118901145.34056641,118899294.34056641,2750.047759070576,898.1737563325314,1851.8740027380445,36.122772
118941008.34056641,118943383.34056641,118942561.34056641,2375.4792735158844,1552.6414669617443,822.8378065541401,42.324722
118949469.34056641,118951572.34056641,118950986.34056641,2103.1919565108983,1516.557612071978,586.6343444389204,70.94631
118976322.09821191,118976998.09821191,118976641.09821191,676.1305071410488,318.21489137891604,357.9156157621328,30.639969
118999126.09821191,119004308.09821191,119000115.09821191,5174.9205694519405,981.6882338287796,4193.232335623161,51.657185
119038202.09821191,119038765.09821191,119038463.09821191,562.9786310007185,260.2549085497594,302.72372245095903,76.423645
